tipo_credito,capital_prestado,plazo_meses,edad_cliente,tipo_laboral,salario_cliente,total_otros_prestamos,cuota_pactada,puntaje_datacredito,cant_creditosvigentes,huella_consulta,saldo_mora,saldo_total,saldo_principal,saldo_mora_codeudor,creditos_sectorFinanciero,creditos_sectorCooperativo,creditos_sectorReal,promedio_ingresos_datacredito,tendencia_ingresos,carga_cuota,prop_mora,total_creditos_sectores,Pago_atiempo
4,1920961.2,6,31.0,Empleado,2000000,200000,286734,811.0,1,3,0.0,0.0,0.0,0.0,1,0,0,2091000.0,Creciente,0.143367,,1,1
4,3472695.6,36,47.0,Empleado,1800000,150000,112406,780.0,0,1,0.0,0.0,,0.0,0,0,0,1471199.0,,0.062447777777777776,,0,1
4,3974400.0,36,30.0,Independiente,1400000,168000,137290,767.0,11,8,0.0,11314.0,11314.0,0.0,4,0,2,1236666.0,Decreciente,0.09806428571428571,0.0,6,1
4,8234880.0,24,42.0,Empleado,11500000,180000,361929,762.0,8,5,0.0,276003.0,46190.0,0.0,4,0,1,11499979.0,Decreciente,0.03147208695652174,0.0,5,1
4,1235881.2,10,41.0,Empleado,2000000,600000,114364,768.0,8,3,0.0,18527.0,18527.0,0.0,5,0,3,2670555.0,Creciente,0.057182,0.0,8,1
4,1052140.8,6,40.0,Independiente,1500000,900000,158161,805.0,5,2,0.0,3579.0,3579.0,0.0,1,1,1,,,0.10544066666666667,0.0,3,1
9,586680.0,8,23.0,Independiente,5000000,2000000,61136,711.0,10,10,0.0,36837.0,36837.0,0.0,4,0,3,983250.0,Estable,0.0122272,0.0,7,0
4,1200000.0,6,39.0,Empleado,2720000,1300000,182777,832.0,2,6,0.0,46022.0,0.0,0.0,1,0,1,766666.0,Creciente,0.06719742647058824,0.0,2,1
9,1540207.2,11,55.0,Independiente,3000000,2500000,120928,883.0,5,6,0.0,17953.0,119.0,0.0,3,1,1,1284518.0,Creciente,0.040309333333333336,0.0,5,1
4,636000.0,6,37.0,Independiente,2800000,1000000,94784,783.0,3,2,0.0,550.0,550.0,0.0,1,0,0,600000.0,Estable,0.033851428571428574,0.0,1,0
4,1068961.2,6,65.0,Empleado,3500000,2000000,148467,806.0,5,3,0.0,43843.0,43843.0,0.0,4,0,0,3449815.0,Creciente,0.04241914285714286,0.0,4,1
9,1381728.0,11,53.0,Independiente,4000000,3000000,116850,823.0,0,2,0.0,0.0,,0.0,0,0,0,908526.0,Estable,0.0292125,,0,1
9,2509897.1999999997,2,41.0,Independiente,1000000,4482000,993266,844.0,7,3,0.0,78824.0,78824.0,0.0,6,0,1,966736.0,Creciente,0.993266,0.0,7,1
9,1604400.0,2,44.0,Independiente,4000000,2000000,632417,802.0,11,7,0.0,173161.0,173161.0,0.0,4,1,3,916148.0,Creciente,0.15810425,0.0,8,1
4,1787880.0,12,55.0,Independiente,10000000,4000000,124158,860.0,9,4,0.0,1116787.0,45483.0,0.0,6,0,2,1968483.0,Estable,0.0124158,0.0,8,1
4,3216000.0,6,54.0,Independiente,8224000,2145000,493083,769.0,4,3,0.0,134165.0,134165.0,0.0,2,0,0,1000000.0,Estable,0.05995659046692607,0.0,2,1
